customer_id,rev_2020,rev_2021,rev_2022,yoy_2020_2021,yoy_2021_2022,cagr_2020_2022,trend_label
CUST00001,985117.0,,,,,,No Trend Data
CUST00002,,4936566.0,,,,,No Trend Data
CUST00003,3102814.0,,,,,,No Trend Data
CUST00004,3948027.0,,,,,,No Trend Data
CUST00005,3682564.0,,,,,,No Trend Data
CUST00006,,973274.0,,,,,No Trend Data
CUST00007,,1499297.0,,,,,No Trend Data
CUST00008,,1613275.0,,,,,No Trend Data
CUST00009,4713444.0,,,,,,No Trend Data
CUST00010,,3468505.0,,,,,No Trend Data
CUST00011,4333669.0,,,,,,No Trend Data
CUST00012,2931263.0,,,,,,No Trend Data
CUST00013,,1426880.0,,,,,No Trend Data
CUST00014,,4578681.0,,,,,No Trend Data
CUST00015,3816255.0,,,,,,No Trend Data
CUST00016,3055508.0,,,,,,No Trend Data
CUST00017,,2743711.0,,,,,No Trend Data
CUST00018,,4714416.0,,,,,No Trend Data
CUST00019,2823396.0,,,,,,No Trend Data
CUST00020,,3218209.0,,,,,No Trend Data
CUST00021,3558986.0,,,,,,No Trend Data
CUST00022,,3712034.0,,,,,No Trend Data
CUST00023,,2813302.0,,,,,No Trend Data
CUST00024,,2119327.0,,,,,No Trend Data
CUST00025,4824000.0,,,,,,No Trend Data
CUST00026,4677044.0,,,,,,No Trend Data
CUST00027,,1894559.0,,,,,No Trend Data
CUST00028,,3246257.0,,,,,No Trend Data
CUST00029,,4715736.0,,,,,No Trend Data
CUST00030,,2231454.0,,,,,No Trend Data
CUST00031,3119970.0,,,,,,No Trend Data
CUST00032,,3895035.0,,,,,No Trend Data
CUST00033,3853900.0,,,,,,No Trend Data
CUST00034,,3431037.0,,,,,No Trend Data
CUST00035,,101641.0,,,,,No Trend Data
CUST00036,,390773.0,,,,,No Trend Data
CUST00037,2486409.0,,,,,,No Trend Data
CUST00038,236754.0,,,,,,No Trend Data
CUST00039,4442022.0,,,,,,No Trend Data
CUST00040,1233181.0,,,,,,No Trend Data
CUST00041,2632031.0,,,,,,No Trend Data
CUST00042,,155103.0,,,,,No Trend Data
CUST00043,2619383.0,,,,,,No Trend Data
CUST00044,,1961320.0,,,,,No Trend Data
CUST00045,,1902064.0,,,,,No Trend Data
CUST00046,,2741611.0,,,,,No Trend Data
CUST00047,282044.0,,,,,,No Trend Data
CUST00048,,2414896.0,,,,,No Trend Data
CUST00049,4744463.0,,,,,,No Trend Data
CUST00050,4388856.0,,,,,,No Trend Data
CUST00051,,4766776.0,,,,,No Trend Data
CUST00052,4887111.0,,,,,,No Trend Data
CUST00053,,4895027.0,,,,,No Trend Data
CUST00054,,1397841.0,,,,,No Trend Data
CUST00055,,890937.0,,,,,No Trend Data
CUST00056,416555.0,,,,,,No Trend Data
CUST00057,,3961861.0,,,,,No Trend Data
CUST00058,3083456.0,,,,,,No Trend Data
CUST00059,1409521.0,,,,,,No Trend Data
CUST00060,,1261052.0,,,,,No Trend Data
CUST00061,,2322881.0,,,,,No Trend Data
CUST00062,3179314.0,,,,,,No Trend Data
CUST00063,,4983476.0,,,,,No Trend Data
CUST00064,,2195951.0,,,,,No Trend Data
CUST00065,2054496.0,,,,,,No Trend Data
CUST00066,2249529.0,,,,,,No Trend Data
CUST00067,,2619119.0,,,,,No Trend Data
CUST00068,870956.0,,,,,,No Trend Data
CUST00069,,4885593.0,,,,,No Trend Data
CUST00070,,3453750.0,,,,,No Trend Data
CUST00071,4873662.0,,,,,,No Trend Data
CUST00072,1923996.0,,,,,,No Trend Data
CUST00073,747613.0,,,,,,No Trend Data
CUST00074,,2823714.0,,,,,No Trend Data
CUST00075,,4147781.0,,,,,No Trend Data
CUST00076,,1550411.0,,,,,No Trend Data
CUST00077,4195959.0,,,,,,No Trend Data
CUST00078,4933788.0,,,,,,No Trend Data
CUST00079,899971.0,,,,,,No Trend Data
CUST00080,2619881.0,,,,,,No Trend Data
CUST00081,,413495.0,,,,,No Trend Data
CUST00082,4934218.0,,,,,,No Trend Data
CUST00083,3300640.0,,,,,,No Trend Data
CUST00084,758316.0,,,,,,No Trend Data
CUST00085,,569113.0,,,,,No Trend Data
CUST00086,2905063.0,,,,,,No Trend Data
CUST00087,,3018650.0,,,,,No Trend Data
CUST00088,3743209.0,,,,,,No Trend Data
CUST00089,,3594037.0,,,,,No Trend Data
CUST00090,,1111167.0,,,,,No Trend Data
CUST00091,2001845.0,,,,,,No Trend Data
CUST00092,,195918.0,,,,,No Trend Data
CUST00093,3308533.0,,,,,,No Trend Data
CUST00094,554058.0,,,,,,No Trend Data
CUST00095,,2656708.0,,,,,No Trend Data
CUST00096,,4498846.0,,,,,No Trend Data
CUST00097,445461.0,,,,,,No Trend Data
CUST00098,,2778621.0,,,,,No Trend Data
CUST00099,4629258.0,,,,,,No Trend Data
CUST00100,,4838832.0,,,,,No Trend Data
CUST00101,,1354768.0,,,,,No Trend Data
CUST00102,2841662.0,,,,,,No Trend Data
CUST00103,4314450.0,,,,,,No Trend Data
CUST00104,1952180.0,,,,,,No Trend Data
CUST00105,,,1385113.0,,,,No Trend Data
CUST00106,523790.0,,,,,,No Trend Data
CUST00107,3395738.0,,,,,,No Trend Data
CUST00108,3838099.0,,,,,,No Trend Data
CUST00109,,4925587.0,,,,,No Trend Data
CUST00110,,4333976.0,,,,,No Trend Data
CUST00111,855670.0,,,,,,No Trend Data
CUST00112,1962989.0,,,,,,No Trend Data
CUST00113,3723339.0,,,,,,No Trend Data
CUST00114,,2530876.0,,,,,No Trend Data
CUST00115,,3407816.0,,,,,No Trend Data
CUST00116,,1341618.0,,,,,No Trend Data
CUST00117,1208882.0,,,,,,No Trend Data
CUST00118,2919983.0,,,,,,No Trend Data
CUST00119,792438.0,,,,,,No Trend Data
CUST00120,,4091758.0,,,,,No Trend Data
CUST00121,4893591.0,,,,,,No Trend Data
CUST00122,513651.0,,,,,,No Trend Data
CUST00123,4698235.0,,,,,,No Trend Data
CUST00124,3448659.0,,,,,,No Trend Data
CUST00125,,2302495.0,,,,,No Trend Data
CUST00126,813694.0,,,,,,No Trend Data
CUST00127,,3443087.0,,,,,No Trend Data
CUST00128,,4309597.0,,,,,No Trend Data
CUST00129,3744775.0,,,,,,No Trend Data
CUST00130,1193666.0,,,,,,No Trend Data
CUST00131,,1231377.0,,,,,No Trend Data
CUST00132,,4134270.0,,,,,No Trend Data
CUST00133,,4791716.0,,,,,No Trend Data
CUST00134,1761854.0,,,,,,No Trend Data
CUST00135,4192475.0,,,,,,No Trend Data
CUST00136,,3416174.0,,,,,No Trend Data
CUST00137,,4892669.0,,,,,No Trend Data
CUST00138,,1745000.0,,,,,No Trend Data
CUST00139,,4807415.0,,,,,No Trend Data
CUST00140,,4497709.0,,,,,No Trend Data
CUST00141,,2165659.0,,,,,No Trend Data
CUST00142,,2132686.0,,,,,No Trend Data
CUST00143,700993.0,,,,,,No Trend Data
CUST00144,,2333526.0,,,,,No Trend Data
CUST00145,,3707652.0,,,,,No Trend Data
CUST00146,,2812973.0,,,,,No Trend Data
CUST00147,4931991.0,,,,,,No Trend Data
CUST00148,851574.0,,,,,,No Trend Data
CUST00149,1043968.0,,,,,,No Trend Data
CUST00150,3569377.0,,,,,,No Trend Data
CUST00151,3652916.0,,,,,,No Trend Data
CUST00152,3164087.0,,,,,,No Trend Data
CUST00153,3021818.0,,,,,,No Trend Data
CUST00154,1697943.0,,,,,,No Trend Data
CUST00155,2790548.0,,,,,,No Trend Data
CUST00156,,2990084.0,,,,,No Trend Data
CUST00157,,303061.0,,,,,No Trend Data
CUST00158,2657005.0,,,,,,No Trend Data
CUST00159,,1519816.0,,,,,No Trend Data
CUST00160,3033633.0,,,,,,No Trend Data
CUST00161,,3809527.0,,,,,No Trend Data
CUST00162,,1323214.0,,,,,No Trend Data
CUST00163,,3794875.0,,,,,No Trend Data
CUST00164,476460.0,,,,,,No Trend Data
CUST00165,2058652.0,,,,,,No Trend Data
CUST00166,,1775080.0,,,,,No Trend Data
CUST00167,3235836.0,,,,,,No Trend Data
CUST00168,1408549.0,,,,,,No Trend Data
CUST00169,,819863.0,,,,,No Trend Data
CUST00170,1042642.0,,,,,,No Trend Data
CUST00171,557498.0,,,,,,No Trend Data
CUST00172,2138836.0,,,,,,No Trend Data
CUST00173,1338805.0,,,,,,No Trend Data
CUST00174,2513277.0,,,,,,No Trend Data
CUST00175,,215203.0,,,,,No Trend Data
CUST00176,2979568.0,,,,,,No Trend Data
CUST00177,,1033467.0,,,,,No Trend Data
CUST00178,2659515.0,,,,,,No Trend Data
CUST00179,,3875390.0,,,,,No Trend Data
CUST00180,,4052630.0,,,,,No Trend Data
CUST00181,,290825.0,,,,,No Trend Data
CUST00182,,2883983.0,,,,,No Trend Data
CUST00183,,1853299.0,,,,,No Trend Data
CUST00184,4613116.0,,,,,,No Trend Data
CUST00185,,1877338.0,,,,,No Trend Data
CUST00186,,1809609.0,,,,,No Trend Data
CUST00187,,4683738.0,,,,,No Trend Data
CUST00188,4489472.0,,,,,,No Trend Data
CUST00189,2269780.0,,,,,,No Trend Data
CUST00190,,4703668.0,,,,,No Trend Data
CUST00191,,4151918.0,,,,,No Trend Data
CUST00192,1285708.0,,,,,,No Trend Data
CUST00193,254254.0,,,,,,No Trend Data
CUST00194,,3259205.0,,,,,No Trend Data
CUST00195,4990599.0,,,,,,No Trend Data
CUST00196,4519111.0,,,,,,No Trend Data
CUST00197,,464753.0,,,,,No Trend Data
CUST00198,2242923.0,,,,,,No Trend Data
CUST00199,1528744.0,,,,,,No Trend Data
CUST00200,604239.0,,,,,,No Trend Data
