truck_id,rev_2022,rev_2023,rev_2024,yoy_2022_2023,yoy_2023_2024,cagr_2022_2024,trend_label
TRK00001,1024755.98,941116.8,930465.39,-8.16,-1.13,-4.71,Volatile
TRK00002,915640.0700000001,879009.31,917712.48,-4.0,4.4,0.11,Stable
TRK00004,1019800.2,920188.32,863613.61,-9.77,-6.15,-7.98,Declining
TRK00006,848000.97,972121.5700000001,958424.01,14.64,-1.41,6.31,Upward
TRK00007,948952.29,1009339.78,929456.1,6.36,-7.91,-1.03,Declining
TRK00008,887906.51,984483.62,908198.89,10.88,-7.75,1.14,Declining
TRK00009,931124.33,883307.3300000001,1018493.17,-5.14,15.3,4.59,Strong Upward
TRK00010,890243.6,853807.8400000001,1033896.71,-4.09,21.09,7.77,Strong Upward
TRK00011,974920.8,915519.75,923603.5700000001,-6.09,0.88,-2.67,Volatile
TRK00012,948139.0,961713.04,974313.78,1.43,1.31,1.37,Stable
TRK00013,812714.27,911032.13,945048.09,12.1,3.73,7.83,Upward
TRK00014,895766.03,905017.5700000001,890791.08,1.03,-1.57,-0.28,Stable
TRK00015,947806.25,941115.06,1090456.48,-0.71,15.87,7.26,Strong Upward
TRK00016,930401.72,950415.26,1019966.37,2.15,7.32,4.7,Strong Upward
TRK00018,845224.9299999999,901956.87,855833.89,6.71,-5.11,0.63,Declining
TRK00019,963455.72,964113.53,986451.15,0.07,2.32,1.19,Stable
TRK00020,945419.93,964985.97,988708.67,2.07,2.46,2.26,Stable
TRK00023,865087.12,995382.54,970966.2,15.06,-2.45,5.94,Upward
TRK00024,1083942.1,921761.85,932970.75,-14.96,1.22,-7.22,Volatile
TRK00025,963464.85,990180.1900000001,988880.1900000001,2.77,-0.13,1.31,Stable
TRK00026,882252.7,871647.49,958884.63,-1.2,10.01,4.25,Strong Upward
TRK00029,929189.16,955425.55,834540.54,2.82,-12.65,-5.23,Declining
TRK00030,831421.4299999999,941303.51,1004642.85,13.22,6.73,9.92,Strong Upward
TRK00031,1041384.53,970150.95,892091.49,-6.84,-8.05,-7.45,Declining
TRK00033,906147.51,916860.04,915257.49,1.18,-0.17,0.5,Stable
TRK00035,992221.33,981385.16,952606.33,-1.09,-2.93,-2.02,Stable
