rank,truck_id,truck_score_100
1,TRK00019,84.01117266511787
2,TRK00040,83.03022874439793
3,TRK00049,81.6405265061444
4,TRK00067,81.15857704966261
5,TRK00035,81.10348311146747
6,TRK00014,80.95266139617443
7,TRK00008,80.64764030601378
8,TRK00006,80.3580545871575
9,TRK00026,79.57154577519876
10,TRK00012,79.3270297638498
11,TRK00007,79.09752282762197
12,TRK00074,78.65606828754656
13,TRK00010,78.44031083846845
14,TRK00015,78.197036661075
15,TRK00069,77.80526259510091
16,TRK00048,76.54611451415384
17,TRK00011,76.28675230535663
18,TRK00031,75.86599180039715
19,TRK00024,75.62842903904753
20,TRK00083,75.32969644294977
21,TRK00095,75.32090864695434
22,TRK00045,75.22282509537625
23,TRK00059,75.1826712052534
24,TRK00011,74.69360582333421
25,TRK00107,74.12565618871936
26,TRK00053,74.11970983591245
27,TRK00107,73.83297653522382
28,TRK00041,73.44213800531567
29,TRK00060,73.38133078555683
30,TRK00083,73.37048785044115
31,TRK00016,73.02129207080591
32,TRK00043,72.71826076493866
33,TRK00112,72.66080288158372
34,TRK00001,72.45117332431691
35,TRK00072,71.87723164182634
36,TRK00116,71.70636355966948
37,TRK00080,71.6872539461066
38,TRK00050,71.54392933011162
39,TRK00052,71.33688617665132
40,TRK00089,71.09773132981232
41,TRK00098,70.50294056231068
42,TRK00095,70.27998510030031
43,TRK00036,69.97481626534599
44,TRK00070,69.92609360542178
45,TRK00064,69.91778984778267
46,TRK00059,69.73985927211554
47,TRK00096,69.57985330427269
48,TRK00098,69.5571429026213
49,TRK00091,69.25768209947401
50,TRK00079,69.20570440485872
51,TRK00107,68.96431540959078
52,TRK00038,68.81752576210592
53,TRK00069,68.73856228146447
54,TRK00018,68.59078313851388
55,TRK00085,68.566585889931
56,TRK00035,68.55431348897648
57,TRK00009,68.51460160276676
58,TRK00062,68.26027579635397
59,TRK00016,68.20281243221623
60,TRK00063,68.19546807232004
61,TRK00018,68.18485509885818
62,TRK00039,68.0243536267151
63,TRK00114,68.00002840255941
64,TRK00052,67.98788486412332
65,TRK00093,67.85305305499472
66,TRK00097,67.83234309196811
67,TRK00054,67.71820108214335
68,TRK00076,67.5323954057605
69,TRK00009,67.14511622425796
70,TRK00010,67.03005361048959
71,TRK00076,66.9912067399033
72,TRK00089,66.89838047000455
73,TRK00096,66.39965634906734
74,TRK00101,66.08113405965732
75,TRK00113,65.57161064096061
76,TRK00030,65.56273486118509
77,TRK00067,65.46068440624536
78,TRK00101,65.45396558516607
79,TRK00019,65.25411268516
80,TRK00068,65.18431020409253
81,TRK00043,65.10657948266031
82,TRK00074,65.10219342287567
83,TRK00093,65.10158470856959
84,TRK00048,65.0231982635121
85,TRK00083,64.7915251679492
86,TRK00086,64.74024442783353
87,TRK00031,64.69802954896879
88,TRK00025,64.60948438865474
89,TRK00018,64.54568060113435
90,TRK00044,64.3746769289468
91,TRK00050,64.30980375196637
92,TRK00101,64.30668950902071
93,TRK00007,64.09900456685467
94,TRK00105,64.01862873069398
95,TRK00024,63.85207453138143
96,TRK00108,63.807764083808195
97,TRK00110,63.78900140572902
98,TRK00058,63.78752813208014
99,TRK00053,63.72078751070836
100,TRK00009,63.66421178121142
101,TRK00051,63.62032506716135
102,TRK00006,63.5471925488303
103,TRK00061,63.362408845080274
104,TRK00036,63.26507012965964
105,TRK00091,63.08564305109498
106,TRK00029,63.03269412690709
107,TRK00065,62.88047569805937
108,TRK00019,62.78205293554981
109,TRK00120,62.70948140786248
110,TRK00114,62.327217204745025
111,TRK00086,62.311735439726036
112,TRK00057,62.20125659513784
113,TRK00057,62.155038620132366
114,TRK00071,61.79634646600821
115,TRK00058,61.77173460606582
116,TRK00036,61.71907629247691
117,TRK00023,61.717405004552326
118,TRK00116,61.66736919929407
119,TRK00099,61.58677133569882
120,TRK00004,61.50100932353588
121,TRK00058,61.417231370067405
122,TRK00068,61.1815113020903
123,TRK00012,61.12668822444481
124,TRK00071,60.96493760294156
125,TRK00023,60.956049962492834
126,TRK00064,60.84677718641252
127,TRK00052,60.753120612532044
128,TRK00029,60.73363109062521
129,TRK00014,60.64879922634107
130,TRK00064,60.534071590024176
131,TRK00082,60.513625409930405
132,TRK00097,60.47247327454052
133,TRK00089,59.93658741057364
134,TRK00111,59.813342848543826
135,TRK00120,59.61786594186931
136,TRK00061,59.59350131886444
137,TRK00085,59.35839187458617
